2025/10/11 03:30:01.982271 [INFO] Log Publish not set, skipping...
2025/10/11 03:50:01.016224 [INFO] Log Publish not set, skipping...
2025/10/11 04:10:01.190651 [INFO] Log Publish not set, skipping...
2025/10/11 04:30:01.225756 [INFO] Log Publish not set, skipping...
2025/10/11 04:50:01.258842 [INFO] Log Publish not set, skipping...
2025/10/11 05:10:01.688846 [INFO] Log Publish not set, skipping...
2025/10/11 05:30:01.748859 [INFO] Log Publish not set, skipping...
2025/10/11 05:50:01.794843 [INFO] Log Publish not set, skipping...
2025/10/11 06:10:01.120333 [INFO] Log Publish not set, skipping...
2025/10/11 06:30:01.144743 [INFO] Log Publish not set, skipping...
2025/10/11 06:50:01.165296 [INFO] Log Publish not set, skipping...
2025/10/11 07:10:01.400674 [INFO] Log Publish not set, skipping...
2025/10/11 07:30:01.426008 [INFO] Log Publish not set, skipping...
2025/10/11 07:50:01.450138 [INFO] Log Publish not set, skipping...
2025/10/11 08:10:01.917110 [INFO] Log Publish not set, skipping...
2025/10/11 08:30:01.970442 [INFO] Log Publish not set, skipping...
2025/10/11 08:50:01.992736 [INFO] Log Publish not set, skipping...
2025/10/11 09:10:01.347958 [INFO] Log Publish not set, skipping...
2025/10/11 09:30:01.387621 [INFO] Log Publish not set, skipping...
2025/10/11 09:50:01.415582 [INFO] Log Publish not set, skipping...
2025/10/11 10:10:01.947080 [INFO] Log Publish not set, skipping...
2025/10/11 10:30:02.010923 [INFO] Log Publish not set, skipping...
2025/10/11 10:50:01.032392 [INFO] Log Publish not set, skipping...
2025/10/11 11:10:01.210557 [INFO] Log Publish not set, skipping...
2025/10/11 11:30:01.235316 [INFO] Log Publish not set, skipping...
2025/10/11 11:50:01.260194 [INFO] Log Publish not set, skipping...
2025/10/11 12:10:01.669063 [INFO] Log Publish not set, skipping...
2025/10/11 12:30:01.701200 [INFO] Log Publish not set, skipping...
2025/10/11 12:50:01.736607 [INFO] Log Publish not set, skipping...
2025/10/11 13:10:01.191435 [INFO] Log Publish not set, skipping...
2025/10/11 13:30:01.239316 [INFO] Log Publish not set, skipping...
2025/10/11 13:50:01.283272 [INFO] Log Publish not set, skipping...
2025/10/11 14:10:01.664910 [INFO] Log Publish not set, skipping...
2025/10/11 14:30:01.722908 [INFO] Log Publish not set, skipping...
2025/10/11 14:50:01.762802 [INFO] Log Publish not set, skipping...
2025/10/11 15:10:01.126374 [INFO] Log Publish not set, skipping...
2025/10/11 15:30:01.179761 [INFO] Log Publish not set, skipping...
2025/10/11 15:50:01.216861 [INFO] Log Publish not set, skipping...
2025/10/11 16:10:01.434172 [INFO] Log Publish not set, skipping...
2025/10/11 16:30:01.466233 [INFO] Log Publish not set, skipping...
2025/10/11 16:50:01.527959 [INFO] Log Publish not set, skipping...
2025/10/11 17:10:01.912960 [INFO] Log Publish not set, skipping...
2025/10/11 17:30:01.953753 [INFO] Log Publish not set, skipping...
2025/10/11 17:50:02.049191 [INFO] Log Publish not set, skipping...
2025/10/11 18:10:01.253665 [INFO] Log Publish not set, skipping...
2025/10/11 18:30:01.283130 [INFO] Log Publish not set, skipping...
2025/10/11 18:50:01.382666 [INFO] Log Publish not set, skipping...
2025/10/11 19:10:01.688099 [INFO] Log Publish not set, skipping...
2025/10/11 19:30:01.762459 [INFO] Log Publish not set, skipping...
2025/10/11 19:50:01.851491 [INFO] Log Publish not set, skipping...
2025/10/11 20:10:01.251317 [INFO] Log Publish not set, skipping...
2025/10/11 20:30:01.300199 [INFO] Log Publish not set, skipping...
2025/10/11 20:50:01.331566 [INFO] Log Publish not set, skipping...
2025/10/11 21:10:01.758649 [INFO] Log Publish not set, skipping...
2025/10/11 21:30:01.811427 [INFO] Log Publish not set, skipping...
2025/10/11 21:50:01.850578 [INFO] Log Publish not set, skipping...
2025/10/11 22:10:01.260359 [INFO] Log Publish not set, skipping...
2025/10/11 22:30:01.305670 [INFO] Log Publish not set, skipping...
2025/10/11 22:50:01.348925 [INFO] Log Publish not set, skipping...
2025/10/11 23:10:01.727487 [INFO] Log Publish not set, skipping...
2025/10/11 23:30:01.758964 [INFO] Log Publish not set, skipping...
2025/10/11 23:50:01.802858 [INFO] Log Publish not set, skipping...
2025/10/12 00:10:01.399698 [INFO] Log Publish not set, skipping...
2025/10/12 00:30:01.471076 [INFO] Log Publish not set, skipping...
2025/10/12 00:50:01.505986 [INFO] Log Publish not set, skipping...
2025/10/12 01:10:01.221642 [INFO] Log Publish not set, skipping...
2025/10/12 01:30:01.251793 [INFO] Log Publish not set, skipping...
2025/10/12 01:50:01.284702 [INFO] Log Publish not set, skipping...
2025/10/12 02:10:01.752988 [INFO] Log Publish not set, skipping...
2025/10/12 02:30:01.854169 [INFO] Log Publish not set, skipping...
2025/10/12 02:50:01.903238 [INFO] Log Publish not set, skipping...
2025/10/12 03:10:01.395051 [INFO] Log Publish not set, skipping...
2025/10/12 03:30:01.433725 [INFO] Log Publish not set, skipping...
2025/10/12 03:50:01.503938 [INFO] Log Publish not set, skipping...
2025/10/12 04:10:01.898838 [INFO] Log Publish not set, skipping...
2025/10/12 04:30:01.929551 [INFO] Log Publish not set, skipping...
2025/10/12 04:50:01.963668 [INFO] Log Publish not set, skipping...
2025/10/12 05:10:01.421838 [INFO] Log Publish not set, skipping...
2025/10/12 05:30:01.469984 [INFO] Log Publish not set, skipping...
2025/10/12 05:50:01.516010 [INFO] Log Publish not set, skipping...
2025/10/12 06:10:01.853465 [INFO] Log Publish not set, skipping...
2025/10/12 06:30:01.890957 [INFO] Log Publish not set, skipping...
2025/10/12 06:50:01.966355 [INFO] Log Publish not set, skipping...
2025/10/12 07:10:01.417216 [INFO] Log Publish not set, skipping...
2025/10/12 07:30:01.501618 [INFO] Log Publish not set, skipping...
2025/10/12 07:50:01.540903 [INFO] Log Publish not set, skipping...
2025/10/12 08:10:01.919092 [INFO] Log Publish not set, skipping...
2025/10/12 08:30:01.969685 [INFO] Log Publish not set, skipping...
2025/10/12 08:50:02.023266 [INFO] Log Publish not set, skipping...
2025/10/12 09:10:01.166846 [INFO] Log Publish not set, skipping...
2025/10/12 09:30:01.188623 [INFO] Log Publish not set, skipping...
2025/10/12 09:50:01.215530 [INFO] Log Publish not set, skipping...
2025/10/12 10:10:01.626070 [INFO] Log Publish not set, skipping...
2025/10/12 10:30:01.671473 [INFO] Log Publish not set, skipping...
2025/10/12 10:50:01.714406 [INFO] Log Publish not set, skipping...
2025/10/12 11:10:01.095040 [INFO] Log Publish not set, skipping...
2025/10/12 11:30:01.114995 [INFO] Log Publish not set, skipping...
2025/10/12 11:50:01.133083 [INFO] Log Publish not set, skipping...
2025/10/12 12:10:01.334160 [INFO] Log Publish not set, skipping...
2025/10/12 12:30:01.409439 [INFO] Log Publish not set, skipping...
2025/10/12 12:50:01.443831 [INFO] Log Publish not set, skipping...
2025/10/12 13:10:01.818419 [INFO] Log Publish not set, skipping...
2025/10/12 13:30:01.873573 [INFO] Log Publish not set, skipping...
2025/10/12 13:50:01.906754 [INFO] Log Publish not set, skipping...
2025/10/12 14:10:01.305609 [INFO] Log Publish not set, skipping...
2025/10/12 14:30:01.339328 [INFO] Log Publish not set, skipping...
2025/10/12 14:50:01.366388 [INFO] Log Publish not set, skipping...
2025/10/12 15:10:01.847227 [INFO] Log Publish not set, skipping...
2025/10/12 15:30:01.879657 [INFO] Log Publish not set, skipping...
2025/10/12 15:50:01.907134 [INFO] Log Publish not set, skipping...
2025/10/12 16:10:01.309777 [INFO] Log Publish not set, skipping...
2025/10/12 16:30:01.338262 [INFO] Log Publish not set, skipping...
2025/10/12 16:50:01.386910 [INFO] Log Publish not set, skipping...
2025/10/12 17:10:01.749614 [INFO] Log Publish not set, skipping...
2025/10/12 17:30:01.782553 [INFO] Log Publish not set, skipping...
2025/10/12 17:50:01.819814 [INFO] Log Publish not set, skipping...
2025/10/12 18:10:01.207711 [INFO] Log Publish not set, skipping...
2025/10/12 18:30:01.245307 [INFO] Log Publish not set, skipping...
2025/10/12 18:50:01.273508 [INFO] Log Publish not set, skipping...
